CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,6,130,90,0
43,3,231,191,0
86,2,488,448,0
129,7,317,277,0
172,9,942,902,0
215,8,439,399,0
258,4,337,297,0
301,5,222,182,0
344,1,624,584,0
387,6,90,50,0
430,3,191,151,0
473,2,448,408,0
516,7,277,237,0
559,9,902,862,0
602,8,399,359,0
645,4,297,257,0
688,5,182,142,0
731,1,584,544,0
774,6,50,10,0
817,3,151,111,0
860,2,408,368,0
903,7,237,197,0
946,9,862,822,0
989,8,359,319,0
1032,4,257,217,0
1075,5,142,102,0
1118,1,544,504,0
1161,6,10,0,1171
1174,3,111,71,0
1217,2,368,328,0
1260,7,197,157,0
1303,9,822,782,0
1346,8,319,279,0
1389,4,217,177,0
1432,5,102,62,0
1475,1,504,464,0
1518,4,177,137,0
1561,5,62,22,0
1604,1,464,424,0
1647,4,137,97,0
1690,5,22,0,1712
1715,1,424,384,0
1758,7,157,117,0
1801,9,782,742,0
1844,8,279,239,0
1887,4,97,57,0
1930,1,384,344,0
1973,7,117,77,0
2016,9,742,702,0
2059,8,239,199,0
2102,4,57,17,0
2145,1,344,304,0
2188,7,77,37,0
2231,9,702,662,0
2274,8,199,159,0
2317,4,17,0,2334
2337,1,304,264,0
2380,8,159,119,0
2423,1,264,224,0
2466,8,119,79,0
2509,1,224,184,0
2552,8,79,39,0
2595,1,184,144,0
2638,8,39,0,2677
2680,1,144,104,0
2723,2,328,288,0
2766,7,37,0,2803
2806,9,662,622,0
2849,1,104,64,0
2892,2,288,248,0
2935,9,622,582,0
2978,1,64,24,0
3021,2,248,208,0
3064,9,582,542,0
3107,1,24,0,3131
3134,3,71,31,0
3177,2,208,168,0
3220,9,542,502,0
3263,3,31,0,3294
3297,2,168,128,0
3340,9,502,462,0
3383,9,462,422,0
3426,9,422,382,0
3469,9,382,342,0
3512,9,342,302,0
3555,9,302,262,0
3598,9,262,222,0
3641,9,222,182,0
3684,9,182,142,0
3727,9,142,102,0
3770,9,102,62,0
3813,9,62,22,0
3856,9,22,0,3878
3881,2,128,88,0
3924,2,88,48,0
3967,2,48,8,0
4010,2,8,0,4018
