CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,25,71,31,0
43,21,336,296,0
86,22,799,759,0
129,10,573,533,0
172,16,867,827,0
215,8,210,170,0
258,24,680,640,0
301,27,392,352,0
344,1,931,891,0
387,23,596,556,0
430,9,845,805,0
473,12,874,834,0
516,6,760,720,0
559,3,683,643,0
602,4,404,364,0
645,13,382,342,0
688,18,30,0,718
721,26,754,714,0
764,5,929,889,0
807,7,772,732,0
850,14,524,484,0
893,17,897,857,0
936,19,94,54,0
979,21,296,256,0
1022,22,759,719,0
1065,10,533,493,0
1108,16,827,787,0
1151,8,170,130,0
1194,24,640,600,0
1237,27,352,312,0
1280,1,891,851,0
1323,23,556,516,0
1366,9,805,765,0
1409,12,834,794,0
1452,6,720,680,0
1495,3,643,603,0
1538,4,364,324,0
1581,13,342,302,0
1624,26,714,674,0
1667,5,889,849,0
1710,7,732,692,0
1753,14,484,444,0
1796,17,857,817,0
1839,19,54,14,0
1882,21,256,216,0
1925,22,719,679,0
1968,10,493,453,0
2011,16,787,747,0
2054,8,130,90,0
2097,24,600,560,0
2140,27,312,272,0
2183,1,851,811,0
2226,23,516,476,0
2269,9,765,725,0
2312,12,794,754,0
2355,6,680,640,0
2398,3,603,563,0
2441,4,324,284,0
2484,13,302,262,0
2527,26,674,634,0
2570,5,849,809,0
2613,7,692,652,0
2656,14,444,404,0
2699,17,817,777,0
2742,19,14,0,2756
2759,5,809,769,0
2802,7,652,612,0
2845,14,404,364,0
2888,17,777,737,0
2931,5,769,729,0
2974,7,612,572,0
3017,14,364,324,0
3060,17,737,697,0
3103,5,729,689,0
3146,7,572,532,0
3189,14,324,284,0
3232,17,697,657,0
3275,5,689,649,0
3318,7,532,492,0
3361,14,284,244,0
3404,17,657,617,0
3447,5,649,609,0
3490,7,492,452,0
3533,14,244,204,0
3576,17,617,577,0
3619,5,609,569,0
3662,7,452,412,0
3705,14,204,164,0
3748,17,577,537,0
3791,5,569,529,0
3834,7,412,372,0
3877,14,164,124,0
3920,17,537,497,0
3963,5,529,489,0
4006,7,372,332,0
4049,14,124,84,0
4092,17,497,457,0
4135,5,489,449,0
4178,7,332,292,0
4221,14,84,44,0
4264,17,457,417,0
4307,5,449,409,0
4350,7,292,252,0
4393,14,44,4,0
4436,17,417,377,0
4479,5,409,369,0
4522,7,252,212,0
4565,14,4,0,4569
4572,17,377,337,0
4615,16,747,707,0
4658,8,90,50,0
4701,24,560,520,0
4744,27,272,232,0
4787,1,811,771,0
4830,23,476,436,0
4873,9,725,685,0
4916,12,754,714,0
4959,6,640,600,0
5002,3,563,523,0
5045,4,284,244,0
5088,13,262,222,0
5131,26,634,594,0
5174,5,369,329,0
5217,7,212,172,0
5260,17,337,297,0
5303,16,707,667,0
5346,8,50,10,0
5389,24,520,480,0
5432,27,232,192,0
5475,1,771,731,0
5518,23,436,396,0
5561,9,685,645,0
5604,12,714,674,0
5647,6,600,560,0
5690,3,523,483,0
5733,4,244,204,0
5776,13,222,182,0
5819,26,594,554,0
5862,5,329,289,0
5905,7,172,132,0
5948,17,297,257,0
5991,16,667,627,0
6034,8,10,0,6044
6047,24,480,440,0
6090,27,192,152,0
6133,1,731,691,0
6176,23,396,356,0
6219,9,645,605,0
6262,12,674,634,0
6305,6,560,520,0
6348,3,483,443,0
6391,4,204,164,0
6434,13,182,142,0
6477,26,554,514,0
6520,5,289,249,0
6563,7,132,92,0
6606,17,257,217,0
6649,27,152,112,0
6692,1,691,651,0
6735,23,356,316,0
6778,9,605,565,0
6821,12,634,594,0
6864,6,520,480,0
6907,3,443,403,0
6950,4,164,124,0
6993,13,142,102,0
7036,26,514,474,0
7079,5,249,209,0
7122,7,92,52,0
7165,17,217,177,0
7208,27,112,72,0
7251,1,651,611,0
7294,23,316,276,0
7337,9,565,525,0
7380,12,594,554,0
7423,6,480,440,0
7466,3,403,363,0
7509,4,124,84,0
7552,13,102,62,0
7595,26,474,434,0
7638,5,209,169,0
7681,7,52,12,0
7724,17,177,137,0
7767,27,72,32,0
7810,1,611,571,0
7853,23,276,236,0
7896,9,525,485,0
7939,12,554,514,0
7982,6,440,400,0
8025,3,363,323,0
8068,4,84,44,0
8111,13,62,22,0
8154,26,434,394,0
8197,5,169,129,0
8240,7,12,0,8252
8255,17,137,97,0
8298,25,31,0,8329
8332,21,216,176,0
8375,22,679,639,0
8418,10,453,413,0
8461,16,627,587,0
8504,24,440,400,0
8547,27,32,0,8579
8582,1,571,531,0
8625,23,236,196,0
8668,9,485,445,0
8711,12,514,474,0
8754,6,400,360,0
8797,3,323,283,0
8840,4,44,4,0
8883,13,22,0,8905
8908,26,394,354,0
8951,5,129,89,0
8994,17,97,57,0
9037,11,225,185,0
9080,20,423,383,0
