CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,891,0
43,2,991,951,0
86,3,683,643,0
129,4,404,364,0
172,5,929,889,0
215,6,760,720,0
258,7,772,732,0
301,8,210,170,0
344,9,845,805,0
387,10,573,533,0
430,11,225,185,0
473,12,874,834,0
516,13,382,342,0
559,14,524,484,0
602,15,198,158,0
645,16,867,827,0
688,17,897,857,0
731,18,30,0,761
764,19,94,54,0
807,20,423,383,0
850,21,336,296,0
893,22,799,759,0
936,23,596,556,0
979,24,680,640,0
1022,25,71,31,0
1065,26,754,714,0
1108,27,392,352,0
1151,1,891,851,0
1194,2,951,911,0
1237,3,643,603,0
1280,4,364,324,0
1323,5,889,849,0
1366,6,720,680,0
1409,7,732,692,0
1452,8,170,130,0
1495,9,805,765,0
1538,10,533,493,0
1581,11,185,145,0
1624,12,834,794,0
1667,13,342,302,0
1710,14,484,444,0
1753,15,158,118,0
1796,16,827,787,0
1839,17,857,817,0
1882,19,54,14,0
1925,20,383,343,0
1968,21,296,256,0
2011,22,759,719,0
2054,23,556,516,0
2097,24,640,600,0
2140,25,31,0,2171
2174,26,714,674,0
2217,27,352,312,0
2260,1,851,811,0
2303,2,911,871,0
2346,3,603,563,0
2389,4,324,284,0
2432,5,849,809,0
2475,6,680,640,0
2518,7,692,652,0
2561,8,130,90,0
2604,9,765,725,0
2647,10,493,453,0
2690,11,145,105,0
2733,12,794,754,0
2776,13,302,262,0
2819,14,444,404,0
2862,15,118,78,0
2905,16,787,747,0
2948,17,817,777,0
2991,19,14,0,3005
3008,20,343,303,0
3051,21,256,216,0
3094,22,719,679,0
3137,23,516,476,0
3180,24,600,560,0
3223,26,674,634,0
3266,27,312,272,0
3309,1,811,771,0
3352,2,871,831,0
3395,3,563,523,0
3438,4,284,244,0
3481,5,809,769,0
3524,6,640,600,0
3567,7,652,612,0
3610,8,90,50,0
3653,9,725,685,0
3696,10,453,413,0
3739,11,105,65,0
3782,12,754,714,0
3825,13,262,222,0
3868,14,404,364,0
3911,15,78,38,0
3954,16,747,707,0
3997,17,777,737,0
4040,20,303,263,0
4083,21,216,176,0
4126,22,679,639,0
4169,23,476,436,0
4212,24,560,520,0
4255,26,634,594,0
4298,27,272,232,0
4341,1,771,731,0
4384,2,831,791,0
4427,3,523,483,0
4470,4,244,204,0
4513,5,769,729,0
4556,6,600,560,0
4599,7,612,572,0
4642,8,50,10,0
4685,9,685,645,0
4728,10,413,373,0
4771,11,65,25,0
4814,12,714,674,0
4857,13,222,182,0
4900,14,364,324,0
4943,15,38,0,4981
4984,16,707,667,0
5027,17,737,697,0
5070,20,263,223,0
5113,21,176,136,0
5156,22,639,599,0
5199,23,436,396,0
5242,24,520,480,0
5285,26,594,554,0
5328,27,232,192,0
5371,1,731,691,0
5414,2,791,751,0
5457,3,483,443,0
5500,4,204,164,0
5543,5,729,689,0
5586,6,560,520,0
5629,7,572,532,0
5672,8,10,0,5682
5685,9,645,605,0
5728,10,373,333,0
5771,11,25,0,5796
5799,12,674,634,0
5842,13,182,142,0
5885,14,324,284,0
5928,16,667,627,0
5971,17,697,657,0
6014,20,223,183,0
6057,21,136,96,0
6100,22,599,559,0
6143,23,396,356,0
6186,24,480,440,0
6229,26,554,514,0
6272,27,192,152,0
6315,1,691,651,0
6358,2,751,711,0
6401,3,443,403,0
6444,4,164,124,0
6487,5,689,649,0
6530,6,520,480,0
6573,7,532,492,0
6616,9,605,565,0
6659,10,333,293,0
6702,12,634,594,0
6745,13,142,102,0
6788,14,284,244,0
6831,16,627,587,0
6874,17,657,617,0
6917,20,183,143,0
6960,21,96,56,0
7003,22,559,519,0
7046,23,356,316,0
7089,24,440,400,0
7132,26,514,474,0
7175,27,152,112,0
7218,1,651,611,0
7261,2,711,671,0
7304,3,403,363,0
7347,4,124,84,0
7390,5,649,609,0
7433,6,480,440,0
7476,7,492,452,0
7519,9,565,525,0
7562,10,293,253,0
7605,12,594,554,0
7648,13,102,62,0
7691,14,244,204,0
7734,16,587,547,0
7777,17,617,577,0
7820,20,143,103,0
7863,21,56,16,0
7906,22,519,479,0
7949,23,316,276,0
7992,24,400,360,0
8035,26,474,434,0
8078,27,112,72,0
8121,1,611,571,0
8164,2,671,631,0
8207,3,363,323,0
8250,4,84,44,0
8293,5,609,569,0
8336,6,440,400,0
8379,7,452,412,0
8422,9,525,485,0
8465,10,253,213,0
8508,12,554,514,0
8551,13,62,22,0
8594,14,204,164,0
8637,16,547,507,0
8680,17,577,537,0
8723,20,103,63,0
8766,21,16,0,8782
8785,22,479,439,0
8828,23,276,236,0
8871,24,360,320,0
8914,26,434,394,0
8957,27,72,32,0
9000,1,571,531,0
9043,2,631,591,0
9086,3,323,283,0
9129,4,44,4,0
9172,5,569,529,0
9215,6,400,360,0
9258,7,412,372,0
9301,9,485,445,0
9344,10,213,173,0
9387,12,514,474,0
9430,13,22,0,9452
9455,14,164,124,0
9498,16,507,467,0
9541,17,537,497,0
9584,20,63,23,0
9627,22,439,399,0
9670,23,236,196,0
9713,24,320,280,0
9756,26,394,354,0
9799,27,32,0,9831
9834,1,531,491,0
9877,2,591,551,0
9920,3,283,243,0
9963,4,4,0,9967
9970,5,529,489,0
10013,6,360,320,0
10056,7,372,332,0
10099,9,445,405,0
10142,10,173,133,0
10185,12,474,434,0
10228,14,124,84,0
10271,16,467,427,0
10314,17,497,457,0
10357,20,23,0,10380
10383,22,399,359,0
10426,23,196,156,0
10469,24,280,240,0
10512,26,354,314,0
10555,1,491,451,0
10598,2,551,511,0
10641,3,243,203,0
10684,5,489,449,0
10727,6,320,280,0
10770,7,332,292,0
10813,9,405,365,0
10856,10,133,93,0
10899,12,434,394,0
10942,14,84,44,0
10985,16,427,387,0
11028,17,457,417,0
11071,22,359,319,0
11114,23,156,116,0
11157,24,240,200,0
11200,26,314,274,0
11243,1,451,411,0
11286,2,511,471,0
11329,3,203,163,0
11372,5,449,409,0
11415,6,280,240,0
11458,7,292,252,0
11501,9,365,325,0
11544,10,93,53,0
11587,12,394,354,0
11630,14,44,4,0
11673,16,387,347,0
11716,17,417,377,0
11759,22,319,279,0
11802,23,116,76,0
11845,24,200,160,0
11888,26,274,234,0
11931,1,411,371,0
11974,2,471,431,0
12017,3,163,123,0
12060,5,409,369,0
12103,6,240,200,0
12146,7,252,212,0
12189,9,325,285,0
12232,10,53,13,0
12275,12,354,314,0
12318,14,4,0,12322
12325,16,347,307,0
12368,17,377,337,0
12411,22,279,239,0
12454,23,76,36,0
12497,24,160,120,0
