CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,911,0
23,2,991,971,0
46,3,683,663,0
69,4,404,384,0
92,5,929,909,0
115,6,760,740,0
138,7,772,752,0
161,8,210,190,0
184,9,845,825,0
207,10,573,553,0
230,11,225,205,0
253,12,874,854,0
276,13,382,362,0
299,14,524,504,0
322,15,198,178,0
345,16,867,847,0
368,17,897,877,0
391,18,30,10,0
414,19,94,74,0
437,20,423,403,0
460,21,336,316,0
483,22,799,779,0
506,23,596,576,0
529,24,680,660,0
552,25,71,51,0
575,26,754,734,0
598,27,392,372,0
621,1,911,891,0
644,2,971,951,0
667,3,663,643,0
690,4,384,364,0
713,5,909,889,0
736,6,740,720,0
759,7,752,732,0
782,8,190,170,0
805,9,825,805,0
828,10,553,533,0
851,11,205,185,0
874,12,854,834,0
897,13,362,342,0
920,14,504,484,0
943,15,178,158,0
966,16,847,827,0
989,17,877,857,0
1012,18,10,0,1022
1025,19,74,54,0
1048,20,403,383,0
1071,21,316,296,0
1094,22,779,759,0
1117,23,576,556,0
1140,24,660,640,0
1163,25,51,31,0
1186,26,734,714,0
1209,27,372,352,0
1232,1,891,871,0
1255,2,951,931,0
1278,3,643,623,0
1301,4,364,344,0
1324,5,889,869,0
1347,6,720,700,0
1370,7,732,712,0
1393,8,170,150,0
1416,9,805,785,0
1439,10,533,513,0
1462,11,185,165,0
1485,12,834,814,0
1508,13,342,322,0
1531,14,484,464,0
1554,15,158,138,0
1577,16,827,807,0
1600,17,857,837,0
1623,19,54,34,0
1646,20,383,363,0
1669,21,296,276,0
1692,22,759,739,0
1715,23,556,536,0
1738,24,640,620,0
1761,25,31,11,0
1784,26,714,694,0
1807,27,352,332,0
1830,1,871,851,0
1853,2,931,911,0
1876,3,623,603,0
1899,4,344,324,0
1922,5,869,849,0
1945,6,700,680,0
1968,7,712,692,0
1991,8,150,130,0
2014,9,785,765,0
2037,10,513,493,0
2060,11,165,145,0
2083,12,814,794,0
2106,13,322,302,0
2129,14,464,444,0
2152,15,138,118,0
2175,16,807,787,0
2198,17,837,817,0
2221,19,34,14,0
2244,20,363,343,0
2267,21,276,256,0
2290,22,739,719,0
2313,23,536,516,0
2336,24,620,600,0
2359,25,11,0,2370
2373,26,694,674,0
2396,27,332,312,0
2419,1,851,831,0
2442,2,911,891,0
2465,3,603,583,0
2488,4,324,304,0
2511,5,849,829,0
2534,6,680,660,0
2557,7,692,672,0
2580,8,130,110,0
2603,9,765,745,0
2626,10,493,473,0
2649,11,145,125,0
2672,12,794,774,0
2695,13,302,282,0
2718,14,444,424,0
2741,15,118,98,0
2764,16,787,767,0
2787,17,817,797,0
2810,19,14,0,2824
2827,20,343,323,0
2850,21,256,236,0
2873,22,719,699,0
2896,23,516,496,0
2919,24,600,580,0
2942,26,674,654,0
2965,27,312,292,0
2988,1,831,811,0
3011,2,891,871,0
3034,3,583,563,0
3057,4,304,284,0
3080,5,829,809,0
3103,6,660,640,0
3126,7,672,652,0
3149,8,110,90,0
3172,9,745,725,0
3195,10,473,453,0
3218,11,125,105,0
3241,12,774,754,0
3264,13,282,262,0
3287,14,424,404,0
3310,15,98,78,0
3333,16,767,747,0
3356,17,797,777,0
3379,20,323,303,0
3402,21,236,216,0
3425,22,699,679,0
3448,23,496,476,0
3471,24,580,560,0
3494,26,654,634,0
3517,27,292,272,0
3540,1,811,791,0
3563,2,871,851,0
3586,3,563,543,0
3609,4,284,264,0
3632,5,809,789,0
3655,6,640,620,0
3678,7,652,632,0
3701,8,90,70,0
3724,9,725,705,0
3747,10,453,433,0
3770,11,105,85,0
3793,12,754,734,0
3816,13,262,242,0
3839,14,404,384,0
3862,15,78,58,0
3885,16,747,727,0
3908,17,777,757,0
3931,20,303,283,0
3954,21,216,196,0
3977,22,679,659,0
4000,23,476,456,0
4023,24,560,540,0
4046,26,634,614,0
4069,27,272,252,0
4092,1,791,771,0
4115,2,851,831,0
4138,3,543,523,0
4161,4,264,244,0
4184,5,789,769,0
4207,6,620,600,0
4230,7,632,612,0
4253,8,70,50,0
4276,9,705,685,0
4299,10,433,413,0
4322,11,85,65,0
4345,12,734,714,0
4368,13,242,222,0
4391,14,384,364,0
4414,15,58,38,0
4437,16,727,707,0
4460,17,757,737,0
4483,20,283,263,0
4506,21,196,176,0
4529,22,659,639,0
4552,23,456,436,0
4575,24,540,520,0
4598,26,614,594,0
4621,27,252,232,0
4644,1,771,751,0
4667,2,831,811,0
4690,3,523,503,0
4713,4,244,224,0
4736,5,769,749,0
4759,6,600,580,0
4782,7,612,592,0
4805,8,50,30,0
4828,9,685,665,0
4851,10,413,393,0
4874,11,65,45,0
4897,12,714,694,0
4920,13,222,202,0
4943,14,364,344,0
4966,15,38,18,0
4989,16,707,687,0
5012,17,737,717,0
5035,20,263,243,0
5058,21,176,156,0
5081,22,639,619,0
5104,23,436,416,0
5127,24,520,500,0
5150,26,594,574,0
5173,27,232,212,0
5196,1,751,731,0
5219,2,811,791,0
5242,3,503,483,0
5265,4,224,204,0
5288,5,749,729,0
5311,6,580,560,0
5334,7,592,572,0
5357,8,30,10,0
5380,9,665,645,0
5403,10,393,373,0
5426,11,45,25,0
5449,12,694,674,0
5472,13,202,182,0
5495,14,344,324,0
5518,15,18,0,5536
5539,16,687,667,0
5562,17,717,697,0
5585,20,243,223,0
5608,21,156,136,0
5631,22,619,599,0
5654,23,416,396,0
5677,24,500,480,0
5700,26,574,554,0
5723,27,212,192,0
5746,1,731,711,0
5769,2,791,771,0
5792,3,483,463,0
5815,4,204,184,0
5838,5,729,709,0
5861,6,560,540,0
5884,7,572,552,0
5907,8,10,0,5917
5920,9,645,625,0
5943,10,373,353,0
5966,11,25,5,0
5989,12,674,654,0
6012,13,182,162,0
6035,14,324,304,0
6058,16,667,647,0
6081,17,697,677,0
6104,20,223,203,0
6127,21,136,116,0
6150,22,599,579,0
6173,23,396,376,0
6196,24,480,460,0
6219,26,554,534,0
6242,27,192,172,0
6265,1,711,691,0
6288,2,771,751,0
6311,3,463,443,0
6334,4,184,164,0
6357,5,709,689,0
6380,6,540,520,0
6403,7,552,532,0
6426,9,625,605,0
6449,10,353,333,0
6472,11,5,0,6477
6480,12,654,634,0
6503,13,162,142,0
6526,14,304,284,0
6549,16,647,627,0
6572,17,677,657,0
6595,20,203,183,0
6618,21,116,96,0
